time_since_last_recording,latency,cost,reliability
0,0.03255271911621094,24.1,1
1346.0,0.03107738494873047,25.5,1
1843.0,0.030651330947875977,23.6,1
875.0,0.030930280685424805,50.9,1
1976.0,0.032095909118652344,48.1,1
1079.0,0.03199410438537598,25.0,1
1570.0,0.031801700592041016,25.5,1
1359.0,0.03050684928894043,22.6,1
858.0,0.03130483627319336,25.0,1
1728.0,0.030160188674926758,25.5,1
668.0,0.03525185585021973,49.2,1
1878.0,0.02976846694946289,24.1,1
1618.0,0.03090500831604004,25.5,1
1284.0,0.029690980911254883,24.5,1
979.0,0.03124237060546875,25.5,1
1482.0,0.03187727928161621,24.1,1
1068.0,0.030309438705444336,24.1,1
1827.0,0.030796289443969727,51.8,1
950.0,0.03137397766113281,50.9,1
1259.0,0.03181624412536621,24.1,1
1265.0,0.03158259391784668,23.6,1
1201.0,0.03084707260131836,25.5,1
1192.0,0.03129315376281738,24.5,1
1252.0,0.030734777450561523,25.5,1
1382.0,0.03871560096740723,24.6,1
1411.0,0.03072357177734375,25.5,1
686.0,0.03176569938659668,23.6,1
1722.0,0.030177593231201172,25.5,1
755.0,0.02897810935974121,25.0,1
2001.0,0.03491950035095215,32.1,1
526.0,0.03126239776611328,25.5,1
1224.0,0.03150200843811035,25.0,1
1446.0,0.0347292423248291,25.5,1
1827.0,0.029914140701293945,25.5,1
1240.0,0.03042888641357422,22.6,1
802.0,0.03223276138305664,50.9,1
1380.0,0.029849767684936523,25.9,1
1485.0,0.030315160751342773,26.3,1
694.0,0.030919313430786133,49.1,1
2041.0,0.030547380447387695,24.1,1
1079.0,0.03154921531677246,24.5,1
799.0,0.03180432319641113,24.5,1
1955.0,0.029904842376708984,25.9,1
319.0,0.030010461807250977,25.9,1
2168.0,0.029892683029174805,50.9,1
747.0,0.030069828033447266,25.5,1
1617.0,0.029100894927978516,26.4,1
1199.0,0.029965877532958984,25.9,1
562.0,0.03020763397216797,24.2,1
1267.0,0.03038954734802246,25.9,1
