time_since_last_recording,latency,cost,reliability
592.0,0.03156757354736328,25.5,1
1337.0,0.032706260681152344,49.1,1
1667.0,0.0317840576171875,25.0,1
1304.0,0.03058791160583496,77.8,1
1480.0,0.03223872184753418,25.5,1
1259.0,0.03248953819274902,26.6,1
477.0,0.029287338256835938,25.5,1
1671.0,0.0315549373626709,27.3,1
1417.0,0.03280377388000488,25.5,1
1471.0,0.030850648880004883,25.9,1
942.0,0.03054070472717285,25.5,1
858.0,0.03145408630371094,25.5,1
1904.0,0.03100299835205078,25.5,1
1379.0,0.02990555763244629,24.5,1
1869.0,0.03194403648376465,25.5,1
1998.0,0.030381202697753906,46.4,1
1693.0,0.030447006225585938,25.5,1
1479.0,0.031749725341796875,25.5,1
1008.0,0.031189441680908203,43.9,1
1527.0,0.030104875564575195,25.5,1
1159.0,0.03110051155090332,25.0,1
1017.0,0.0291440486907959,27.3,1
1516.0,0.035755157470703125,24.6,1
1122.0,0.030870676040649414,25.9,1
1438.0,0.03284478187561035,50.9,1
859.0,0.03060293197631836,23.1,1
1763.0,0.029819726943969727,24.1,1
536.0,0.030806779861450195,50.0,1
1843.0,0.030910968780517578,25.5,1
553.0,0.03167843818664551,24.6,1
1402.0,0.03168916702270508,36.4,1
1205.0,0.03219437599182129,25.5,1
1210.0,0.031307220458984375,50.0,1
2040.0,0.030189990997314453,50.8,1
954.0,0.0320744514465332,25.5,1
1434.0,0.02966761589050293,24.1,1
917.0,0.031113624572753906,25.0,1
853.0,0.03159070014953613,26.8,1
1168.0,0.03062725067138672,26.3,1
1553.0,0.03162813186645508,25.5,1
1590.0,0.03129768371582031,25.9,1
1583.0,0.03164863586425781,25.5,1
827.0,0.03152060508728027,25.0,1
1219.0,0.030272960662841797,25.9,1
836.0,0.030214548110961914,25.5,1
2142.0,0.030951261520385742,25.5,1
904.0,0.03133893013000488,25.9,1
1035.0,0.029752731323242188,24.5,1
1699.0,0.03343844413757324,26.8,1
