2019-06-24T429:01:21.1996429Z,1,1
2019-06-24T00:03:28.000Z,0,1
2019-06-24T00:03:29.658Z,2,1
2019-06-24T00:08:05.000Z,0,1
2019-06-24T00:08:06.376Z,3,1
2019-06-24T00:08:27.000Z,0,1
2019-06-24T00:08:28.165Z,4,1
2019-06-24T00:10:53.000Z,0,1
2019-06-24T00:10:54.532Z,5,1
2019-06-24T00:11:07.000Z,0,1
2019-06-24T00:11:08.096Z,1,2
2019-06-24T00:13:17.000Z,0,2
2019-06-24T00:13:18.961Z,2,2
2019-06-24T00:15:19.000Z,0,2
2019-06-24T00:15:20.516Z,3,2
2019-06-24T00:15:59.000Z,0,2
2019-06-24T00:16:00.736Z,4,2
2019-06-24T00:18:46.000Z,0,2
2019-06-24T00:18:47.332Z,5,2
2019-06-24T00:18:56.000Z,0,2
2019-06-24T00:18:57.678Z,1,3
2019-06-24T00:21:03.000Z,0,3
2019-06-24T00:21:04.611Z,2,3
2019-06-24T00:24:02.000Z,0,3
2019-06-24T00:24:03.837Z,3,3
2019-06-24T00:24:09.000Z,0,3
2019-06-24T00:24:10.134Z,4,3
2019-06-24T00:27:07.000Z,0,3
2019-06-24T00:27:08.314Z,5,3
2019-06-24T00:27:08.000Z,0,3
2019-06-24T00:27:09.323Z,1,4
2019-06-24T00:28:59.000Z,0,4
2019-06-24T00:29:00.989Z,2,4
2019-06-24T00:31:15.000Z,0,4
2019-06-24T00:31:16.634Z,3,4
2019-06-24T00:31:50.000Z,0,4
2019-06-24T00:31:51.794Z,4,4
2019-06-24T00:34:25.000Z,0,4
2019-06-24T00:34:26.056Z,5,4
2019-06-24T00:34:29.000Z,0,4
2019-06-24T00:34:30.518Z,1,5
2019-06-24T00:35:29.000Z,0,5
2019-06-24T00:35:30.253Z,2,5
2019-06-24T00:37:02.000Z,0,5
2019-06-24T00:37:03.295Z,3,5
2019-06-24T00:37:14.000Z,0,5
2019-06-24T00:37:15.286Z,4,5
2019-06-24T00:39:58.000Z,0,5
2019-06-24T00:39:59.540Z,5,5
2019-06-24T00:39:59.000Z,0,5
