2019-06-21T053:52:42.1996053Z,1,1
2019-06-21T13:53:35.000Z,0,1
2019-06-21T13:53:36.212Z,2,1
2019-06-21T13:53:38.000Z,0,1
2019-06-21T13:53:39.871Z,3,1
2019-06-21T13:53:39.000Z,0,1
2019-06-21T200:54:15.1996200Z,1,1
2019-06-21T13:56:01.000Z,0,1
2019-06-21T13:56:02.484Z,2,1
2019-06-21T13:57:56.000Z,0,1
2019-06-21T13:57:57.370Z,3,1
2019-06-21T13:57:59.000Z,0,1
2019-06-21T13:58:00.272Z,4,1
2019-06-21T14:00:33.000Z,0,1
2019-06-21T14:00:34.714Z,5,1
2019-06-21T14:00:34.000Z,0,1
2019-06-21T14:00:35.727Z,1,2
2019-06-21T14:02:07.000Z,0,2
2019-06-21T14:02:08.707Z,2,2
2019-06-21T14:04:42.000Z,0,2
2019-06-21T14:04:43.623Z,3,2
2019-06-21T14:04:55.000Z,0,2
2019-06-21T14:04:56.464Z,4,2
2019-06-21T14:07:34.000Z,0,2
2019-06-21T14:07:35.657Z,5,2
2019-06-21T14:07:35.000Z,0,2
2019-06-21T14:07:36.666Z,1,3
2019-06-21T14:09:25.000Z,0,3
2019-06-21T14:09:26.484Z,2,3
2019-06-21T14:11:07.000Z,0,3
2019-06-21T14:11:08.556Z,3,3
2019-06-21T14:11:15.000Z,0,3
2019-06-21T14:11:16.140Z,4,3
2019-06-21T14:14:21.000Z,0,3
2019-06-21T14:14:22.242Z,5,3
2019-06-21T14:14:22.000Z,0,3
2019-06-21T14:14:23.251Z,1,4
2019-06-21T14:18:23.000Z,0,4
2019-06-21T14:18:24.194Z,2,4
2019-06-21T14:19:44.000Z,0,4
2019-06-21T14:19:45.520Z,3,4
2019-06-21T14:19:52.000Z,0,4
2019-06-21T14:19:53.789Z,4,4
2019-06-21T14:22:15.000Z,0,4
2019-06-21T14:22:16.361Z,5,4
2019-06-21T14:22:24.000Z,0,4
2019-06-21T14:22:25.947Z,1,5
2019-06-21T14:23:30.000Z,0,5
2019-06-21T14:23:31.569Z,2,5
2019-06-21T14:25:05.000Z,0,5
2019-06-21T14:25:06.621Z,3,5
2019-06-21T14:25:15.000Z,0,5
2019-06-21T14:25:16.615Z,4,5
2019-06-21T14:27:39.000Z,0,5
2019-06-21T14:27:40.843Z,5,5
2019-06-21T14:27:40.000Z,0,5
2019-06-21T14:27:41.852Z,1,6
2019-06-21T14:33:53.000Z,0,6
2019-06-21T14:33:54.369Z,2,6
2019-06-21T14:34:55.000Z,0,6
2019-06-21T14:34:56.196Z,3,6
2019-06-21T14:35:00.000Z,0,6
2019-06-21T14:35:01.136Z,4,6
2019-06-21T14:38:19.000Z,0,6
2019-06-21T14:38:20.660Z,5,6
2019-06-21T14:38:20.000Z,0,6
2019-06-21T14:38:21.669Z,1,7
2019-06-21T14:44:20.000Z,0,7
2019-06-21T14:44:21.963Z,2,7
2019-06-21T14:45:25.000Z,0,7
2019-06-21T14:45:26.322Z,3,7
2019-06-21T14:46:58.000Z,0,7
2019-06-21T14:46:59.185Z,4,7
2019-06-21T14:49:34.000Z,0,7
2019-06-21T14:49:35.286Z,5,7
2019-06-21T14:49:35.000Z,0,7
2019-06-21T14:49:36.528Z,1,8
2019-06-21T14:52:06.000Z,0,8
2019-06-21T14:52:07.946Z,2,8
