Timestamp,Server,Tactic,PingSuccess,PingTime
2020-03-19 17:00:40.229685,6,0.06065511703491211
2020-03-19 17:03:05.939826,7,1,0.11268830299377441
2020-03-19 17:06:04.845328,8,1,0.09499168395996094
2020-03-19 17:06:21.572400,1,1,0.1358778476715088
2020-03-19 17:08:58.065768,2,1,0.13549280166625977
2020-03-19 17:11:20.127994,3,1,0.5134704113006592
2020-03-19 17:13:47.434302,4,1,0.16799116134643555
2020-03-19 17:16:59.610266,5,1,0.03970837593078613
2020-03-19 17:19:43.973288,6,0.055727243423461914
2020-03-19 17:22:10.035857,7,1,0.11486959457397461
2020-03-19 17:24:43.882112,8,1,0.09468913078308105
2020-03-19 17:27:18.527251,1,1,0.13566350936889648
2020-03-19 17:29:47.558109,2,1,0.13854169845581055
2020-03-19 17:32:01.865113,3,1,0.15072846412658691
2020-03-19 17:34:26.646876,4,1,0.174560546875
2020-03-19 17:37:37.515845,5,1,0.039548635482788086
2020-03-19 17:40:08.066379,6,0.05499839782714844
2020-03-19 17:42:33.214848,7,1,0.1143333911895752
2020-03-19 17:45:13.722741,8,1,0.24032044410705566
2020-03-19 17:47:46.595046,1,1,0.13579535484313965
2020-03-19 17:50:22.939812,2,1,0.13700318336486816
2020-03-19 17:52:40.465782,3,1,0.15108895301818848
2020-03-19 17:55:03.096895,4,1,0.16843557357788086
2020-03-19 17:58:13.033892,5,1,0.039263010025024414
2020-03-19 18:00:43.381635,6,0.05572366714477539
2020-03-19 18:03:08.934051,7,1,0.11488485336303711
2020-03-19 18:06:09.155189,8,1,0.09552168846130371
2020-03-19 18:08:40.698607,1,1,0.13720250129699707
2020-03-19 18:11:08.097103,2,1,0.13969159126281738
2020-03-19 18:13:20.841149,3,1,0.15047049522399902
2020-03-19 18:15:43.701440,4,1,0.17098426818847656
2020-03-19 18:18:44.923259,5,1,0.039713144302368164
2020-03-19 18:21:14.487451,6,0.05548810958862305
2020-03-19 18:23:40.249339,7,1,0.11474776268005371
2020-03-19 18:26:05.916170,8,1,0.09662365913391113
2020-03-19 18:28:42.623937,1,1,0.13713932037353516
2020-03-19 18:31:16.386145,2,1,0.137925386428833
2020-03-19 18:33:33.479752,3,1,0.15568971633911133
2020-03-19 18:35:59.510430,4,1,0.1697251796722412
2020-03-19 18:39:12.724879,5,1,0.04067802429199219
2020-03-19 18:41:42.145625,6,0.05632495880126953
