Date,Current(mA),Power(mW),Is_Active,Tactic
2019-6-2T23:59:12:269,342.19,1569.26,0,0
2019-6-2T23:59:13:275,331.02,1549.24,0,0
2019-6-2T23:59:14:281,297.99,1524.60,0,0
2019-6-2T23:59:15:286,302.30,1544.62,0,0
2019-6-2T23:59:16:292,323.32,1580.04,0,0
2019-6-2T23:59:17:298,316.78,1518.44,0,0
2019-6-2T23:59:18:303,296.68,1524.60,0,0
2019-6-2T23:59:19:309,318.39,1650.88,0,0
2019-6-2T23:59:20:315,297.30,1524.60,0,0
2019-6-2T23:59:21:320,331.10,1576.96,0,0
2019-6-2T23:59:22:326,329.64,2142.14,0,0
2019-6-2T23:59:23:332,311.54,1561.56,0,0
2019-6-2T23:59:24:338,292.14,1504.58,0,0
2019-6-2T23:59:25:343,352.81,1854.16,0,0
2019-6-2T23:59:26:349,334.03,1707.86,0,0
2019-6-2T23:59:27:355,332.33,1617.00,0,0
2019-6-2T23:59:28:361,309.08,1615.46,0,0
2019-6-2T23:59:29:366,310.00,1569.26,0,0
2019-6-2T23:59:30:372,303.84,1506.12,0,0
2019-6-2T23:59:31:378,307.00,1546.16,0,0
2019-6-2T23:59:32:384,267.50,1370.60,0,0
2019-6-2T23:59:33:390,270.04,1382.92,0,0
2019-6-2T23:59:34:395,457.07,2285.36,1,1
2019-6-2T23:59:34:501,448.99,2280.74,1,1
2019-6-2T23:59:34:607,445.91,2188.34,1,1
2019-6-2T23:59:34:713,444.37,2256.10,1,1
2019-6-2T23:59:34:818,419.57,2035.88,1,1
2019-6-2T23:59:34:924,409.02,2043.58,1,1
2019-6-2T23:59:35:29,456.76,2339.26,1,1
2019-6-2T23:59:35:135,413.72,2111.34,1,1
2019-6-2T23:59:35:241,459.46,2316.16,1,1
2019-6-2T23:59:35:346,446.75,2279.20,1,1
2019-6-2T23:59:35:452,454.61,2651.88,1,1
2019-6-2T23:59:35:558,453.68,2157.54,1,1
2019-6-2T23:59:35:663,461.15,2263.80,1,1
2019-6-2T23:59:35:769,405.02,2323.86,1,1
2019-6-2T23:59:35:875,359.67,1564.64,1,1
2019-6-2T23:59:35:980,386.39,1761.76,1,1
2019-6-2T23:59:36:86,407.56,1960.42,1,1
2019-6-2T23:59:36:192,460.69,1791.02,1,1
2019-6-2T23:59:36:297,359.51,1955.80,1,1
2019-6-2T23:59:36:403,423.11,1838.76,1,1
2019-6-2T23:59:36:509,390.31,1841.84,1,1
2019-6-2T23:59:36:614,429.51,1960.42,1,1
2019-6-2T23:59:36:720,365.13,2015.86,1,1
2019-6-2T23:59:36:825,351.43,1912.68,1,1
2019-6-2T23:59:36:931,346.73,1860.32,1,1
2019-6-2T23:59:37:37,390.01,1985.06,1,1
2019-6-2T23:59:37:142,362.67,2034.34,1,1
2019-6-2T23:59:37:248,332.79,1829.52,1,1
2019-6-2T23:59:37:354,361.36,2083.62,1,1
2019-6-2T23:59:37:460,399.78,1818.74,1,1
2019-6-2T23:59:37:565,383.38,1715.56,1,1
2019-6-2T23:59:37:671,360.59,1894.20,1,1
2019-6-2T23:59:37:777,386.08,1821.82,1,1
2019-6-2T23:59:37:882,392.47,1758.68,1,1
2019-6-2T23:59:37:988,376.53,1872.64,1,1
2019-6-2T23:59:38:94,368.06,1884.96,1,1
2019-6-2T23:59:38:199,379.92,2008.16,1,1
2019-6-2T23:59:38:305,409.56,1943.48,1,1
2019-6-2T23:59:38:410,298.22,1857.24,1,1
2019-6-2T23:59:38:516,300.53,1533.84,1,1
2019-6-2T23:59:38:622,363.90,1560.02,1,1
2019-6-2T23:59:38:727,350.73,1741.74,1,1
2019-6-2T23:59:38:833,305.69,1556.94,1,1
2019-6-2T23:59:38:939,299.53,1726.34,1,1
2019-6-2T23:59:39:44,306.00,1620.08,1,1
2019-6-2T23:59:39:150,304.38,1703.24,1,1
2019-6-2T23:59:39:256,331.33,1687.84,1,1
2019-6-2T23:59:39:361,333.72,1678.60,1,1
2019-6-2T23:59:39:467,338.72,1738.66,1,1
2019-6-2T23:59:39:573,308.23,1553.86,1,1
2019-6-2T23:59:39:679,322.32,1576.96,1,1
2019-6-2T23:59:39:784,308.08,1640.10,1,1
2019-6-2T23:59:39:890,308.23,1572.34,1,1
2019-6-2T23:59:39:996,326.17,1683.22,1,1
2019-6-2T23:59:40:101,305.54,1672.44,1,1
2019-6-2T23:59:40:207,306.15,1556.94,1,1
2019-6-2T23:59:40:313,302.38,1556.94,1,1
2019-6-2T23:59:40:418,303.61,1561.56,1,1
2019-6-2T23:59:40:524,315.24,1536.92,1,1
2019-6-2T23:59:40:630,300.68,1632.40,1,1
2019-6-2T23:59:40:735,300.61,1504.58,1,1
2019-6-2T23:59:40:841,297.14,1524.60,1,1
2019-6-2T23:59:40:947,330.64,1566.18,1,1
2019-6-2T23:59:41:52,298.30,1524.60,1,1
2019-6-2T23:59:41:158,342.11,1576.96,1,1
2019-6-2T23:59:41:264,315.24,1593.90,1,1
2019-6-2T23:59:41:369,323.48,1556.94,1,1
2019-6-2T23:59:41:475,324.02,1655.50,1,1
2019-6-2T23:59:41:580,303.53,1627.78,1,1
2019-6-2T23:59:41:686,302.23,1572.34,1,1
2019-6-2T23:59:41:792,307.15,1538.46,1,1
2019-6-2T23:59:41:898,304.30,1541.54,1,1
2019-6-2T23:59:42:3,300.61,1556.94,1,1
2019-6-2T23:59:42:109,304.69,1560.02,1,1
2019-6-2T23:59:42:215,299.84,1553.86,1,1
2019-6-2T23:59:42:320,302.69,1538.46,1,1
2019-6-2T23:59:42:426,292.29,1518.44,1,1
2019-6-2T23:59:42:531,298.68,1726.34,1,1
2019-6-2T23:59:42:637,301.92,1549.24,1,1
2019-6-2T23:59:42:743,300.84,1650.88,1,1
2019-6-2T23:59:42:848,290.60,1489.18,1,1
2019-6-2T23:59:42:954,315.62,1560.02,1,1
2019-6-2T23:59:43:60,297.91,1516.90,1,1
2019-6-2T23:59:43:165,336.64,1573.88,1,1
2019-6-2T23:59:43:271,297.60,1521.52,1,1
2019-6-2T23:59:43:377,308.54,1663.20,1,1
2019-6-2T23:59:43:483,305.30,1623.16,1,1
2019-6-2T23:59:43:588,305.92,1552.32,1,1
2019-6-2T23:59:43:694,322.24,1513.82,1,1
2019-6-2T23:59:43:800,305.84,1573.88,1,1
2019-6-2T23:59:43:905,301.99,1566.18,1,1
2019-6-2T23:59:44:11,299.68,1564.64,1,1
2019-6-2T23:59:44:124,307.38,1552.32,1,1
2019-6-2T23:59:44:229,298.68,1536.92,1,1
2019-6-2T23:59:44:335,301.22,1561.56,1,1
2019-6-2T23:59:44:440,304.54,1569.26,1,1
2019-6-2T23:59:44:546,304.54,1541.54,1,1
2019-6-2T23:59:44:652,302.69,1604.68,1,1
2019-6-2T23:59:44:757,303.84,1544.62,1,1
2019-6-2T23:59:44:863,308.62,1580.04,1,1
2019-6-2T23:59:44:969,295.91,1509.20,1,1
2019-6-2T23:59:45:74,329.64,1573.88,1,1
2019-6-2T23:59:45:180,297.68,1549.24,1,1
2019-6-2T23:59:45:286,333.79,1572.34,1,1
2019-6-2T23:59:45:392,309.62,1587.74,1,1
2019-6-2T23:59:45:497,313.31,1569.26,1,1
2019-6-2T23:59:45:603,306.31,1566.18,1,1
2019-6-2T23:59:45:709,295.68,1486.10,1,1
2019-6-2T23:59:45:814,302.23,1529.22,1,1
2019-6-2T23:59:45:920,328.02,1564.64,1,1
2019-6-2T23:59:46:26,304.15,1546.16,1,1
2019-6-2T23:59:46:132,302.99,1546.16,1,1
2019-6-2T23:59:46:238,301.69,1566.18,1,1
2019-6-2T23:59:46:344,302.99,1553.86,1,1
2019-6-2T23:59:46:449,302.15,1564.64,1,1
2019-6-2T23:59:46:555,306.54,1533.84,1,1
2019-6-2T23:59:46:661,301.92,1536.92,1,1
2019-6-2T23:59:46:766,301.53,1541.54,1,1
2019-6-2T23:59:46:872,356.51,1821.82,1,1
2019-6-2T23:59:46:978,326.40,1690.92,1,1
2019-6-2T23:59:47:83,323.78,1817.20,1,1
2019-6-2T23:59:47:189,377.22,2205.28,1,1
2019-6-2T23:59:47:295,320.01,1635.48,1,1
2019-6-2T23:59:47:400,547.55,1826.44,1,1
2019-6-2T23:59:47:506,324.02,2815.12,1,1
2019-6-2T23:59:47:612,342.42,1707.86,1,1
2019-6-2T23:59:47:717,304.30,1600.06,1,1
2019-6-2T23:59:47:823,339.03,1561.56,1,1
2019-6-2T23:59:47:929,318.01,1607.76,1,1
2019-6-2T23:59:48:35,307.61,1657.04,1,1
2019-6-2T23:59:48:140,325.40,1655.50,1,1
2019-6-2T23:59:48:246,309.62,1580.04,1,1
2019-6-2T23:59:48:352,306.61,1672.44,1,1
